company,display_name,tier,skill_count,npm_package,npm_status,beads_epic_id,skills_created,skills_tested,website_status,marketplace_status,notes
supabase,Supabase,flagship+,30,@intentsolutionsio/supabase-pack,published,ccpi-supabase,30,0,not_started,added,first reference implementation - npm published 2025-12-29
vercel,Vercel,flagship+,30,@intentsolutionsio/vercel-pack,published,ccpi-vercel,30,0,not_started,added,second Flagship+ pack - npm published 2025-12-29
sentry,Sentry,flagship+,30,@intentsolutionsio/sentry-pack,published,ccpi-sentry,30,0,complete,added,third Flagship+ pack - npm published 2025-12-30
langchain,LangChain,flagship+,30,@intentsolutionsio/langchain-pack,not_reserved,ccpi-langchain,0,0,not_started,not_added,
replit,Replit,flagship+,30,@intentsolutionsio/replit-pack,not_reserved,ccpi-replit,0,0,not_started,not_added,
clerk,Clerk,flagship,24,@intentsolutionsio/clerk-pack,not_reserved,ccpi-clerk,0,0,not_started,not_added,
posthog,PostHog,flagship,24,@intentsolutionsio/posthog-pack,not_reserved,ccpi-posthog,0,0,not_started,not_added,
clickhouse,ClickHouse,flagship,24,@intentsolutionsio/clickhouse-pack,not_reserved,ccpi-clickhouse,0,0,not_started,not_added,
together,Together AI,flagship,24,@intentsolutionsio/together-pack,not_reserved,ccpi-together,0,0,not_started,not_added,
mistral,Mistral AI,flagship,24,@intentsolutionsio/mistral-pack,not_reserved,ccpi-mistral,0,0,not_started,not_added,
alchemy,Alchemy,flagship,24,@intentsolutionsio/alchemy-pack,not_reserved,ccpi-alchemy,0,0,not_started,not_added,
apify,Apify,flagship,24,@intentsolutionsio/apify-pack,not_reserved,ccpi-apify,0,0,not_started,not_added,
brightdata,Bright Data,flagship,24,@intentsolutionsio/brightdata-pack,not_reserved,ccpi-brightdata,0,0,not_started,not_added,
cursor,Cursor,pro,18,@intentsolutionsio/cursor-pack,not_reserved,ccpi-cursor,0,0,not_started,not_added,
openrouter,OpenRouter,pro,18,@intentsolutionsio/openrouter-pack,not_reserved,ccpi-openrouter,0,0,not_started,not_added,
groq,Groq,pro,18,@intentsolutionsio/groq-pack,not_reserved,ccpi-groq,0,0,not_started,not_added,
